
======================================================================
## 1a. prop 近7天全游戏数据量验证
======================================================================
[dataapi] download ready rows=8 latency=5050ms
ds | cnt
20260713 | 13814
20260714 | 13824
20260715 | 12818
20260716 | 12282
20260717 | 6481
20260718 | 6103
20260719 | 13694
20260720 | 9021
(8 行)

======================================================================
## 1b. prop 近7天新服数据量
======================================================================
[dataapi] download ready rows=4 latency=5031ms
serverid | cnt
39005900001599 | 2647
39005900001601 | 1045
39005900001600 | 771
39005900001598 | 396
(4 行)

======================================================================
## 2. 每服每日付费金额趋势 (重试)
======================================================================
[dataapi] download ready rows=175 latency=31ms
serverid | ds | payers | usd
39005900001600 | 20260628 | 3 | 289.99
39005900001600 | 20260629 | 1 | 20.0
39005900001600 | 20260630 | 2 | 60.0
39005900001600 | 20260701 | 4 | 45.0
39005900001600 | 20260702 | 4 | 85.98
39005900001600 | 20260703 | 3 | 20.99
39005900001600 | 20260704 | 3 | 21.98
39005900001600 | 20260705 | 2 | 10.99
39005900001600 | 20260706 | 2 | 5.99
39005900001600 | 20260707 | 3 | 15.99
39005900001600 | 20260708 | 3 | 32.96
39005900001600 | 20260709 | 2 | 49.99
39005900001600 | 20260710 | 6 | 129.94
39005900001600 | 20260711 | 3 | 54.99
39005900001600 | 20260712 | 3 | 49.98
39005900001600 | 20260713 | 2 | 20.0
39005900001600 | 20260714 | 1 | 20.0
39005900001600 | 20260715 | 1 | 40.0
39005900001600 | 20260716 | 3 | 49.99
39005900001600 | 20260717 | 1 | 10.0
39005900001600 | 20260719 | 2 | 50.0
39005900001601 | 20260621 | 4 | 64.98
39005900001601 | 20260622 | 3 | 34.99
39005900001601 | 20260624 | 1 | 10.0
39005900001601 | 20260625 | 1 | 9.99
39005900001601 | 20260626 | 2 | 29.99
39005900001601 | 20260627 | 1 | 5.0
39005900001601 | 20260629 | 1 | 29.99
39005900001601 | 20260630 | 3 | 109.99
39005900001601 | 20260701 | 3 | 59.98
39005900001601 | 20260702 | 2 | 15.98
39005900001601 | 20260703 | 1 | 10.0
39005900001601 | 20260704 | 4 | 78.93
39005900001601 | 20260705 | 6 | 117.94
39005900001601 | 20260706 | 2 | 21.97
39005900001601 | 20260707 | 2 | 79.97
39005900001601 | 20260708 | 2 | 10.0
39005900001601 | 20260710 | 4 | 99.99
39005900001601 | 20260711 | 5 | 494.99
39005900001601 | 20260712 | 3 | 150.0
39005900001601 | 20260713 | 2 | 20.0
39005900001601 | 20260716 | 2 | 229.99
39005900001601 | 20260718 | 1 | 10.0
39005900001601 | 20260719 | 2 | 140.0
(175 行)

======================================================================
## 3. 1600/1601 在 20260529 的注册明细样例
======================================================================
[dataapi] download ready rows=20 latency=5033ms
serverid | iuid | ouid | custom_pra1 | custom_pra2 | custom_pra3 | user_level
39005900001600 | 1000139005900001600 | system@no.1 | 1 | 1 | 0 | 1
39005900001600 | 1000239005900001600 | system@no.2 | 1 | 1 | 0 | 1
39005900001600 | 1000339005900001600 | system@no.3 | 1 | 1 | 0 | 1
39005900001600 | 1000439005900001600 | system@no.4 | 1 | 1 | 0 | 1
39005900001600 | 1000539005900001600 | system@no.5 | 1 | 1 | 0 | 1
39005900001600 | 1000639005900001600 | system@no.6 | 1 | 1 | 0 | 1
39005900001600 | 1000739005900001600 | system@no.7 | 1 | 1 | 0 | 1
39005900001600 | 1000839005900001600 | system@no.8 | 1 | 1 | 0 | 1
39005900001600 | 1000939005900001600 | system@no.9 | 1 | 1 | 0 | 1
39005900001600 | 1001039005900001600 | system@no.10 | 1 | 1 | 0 | 1
39005900001600 | 1001139005900001600 | system@no.11 | 1 | 1 | 0 | 1
39005900001600 | 1001239005900001600 | system@no.12 | 1 | 1 | 0 | 1
39005900001600 | 1001339005900001600 | system@no.13 | 1 | 1 | 0 | 1
39005900001600 | 1001439005900001600 | system@no.14 | 1 | 1 | 0 | 1
39005900001600 | 1001539005900001600 | system@no.15 | 1 | 1 | 0 | 1
39005900001600 | 1001639005900001600 | system@no.16 | 1 | 1 | 0 | 1
39005900001600 | 1001739005900001600 | system@no.17 | 1 | 1 | 0 | 1
39005900001600 | 1001839005900001600 | system@no.18 | 1 | 1 | 0 | 1
